Group,Education Level,Year,Domain,Indicator,Value
Non-drug-taking students,Overall,2020/21,Social and Peer Statements,“I can be influenced by my friends easily.”,44.9
Non-drug-taking students,Overall,2020/21,Social and Peer Statements,“I feel I am well-liked in school.”,36.4
Non-drug-taking students,Overall,2020/21,Social and Peer Statements,“I often break school rules.”,11.7
All students,Overall,2023/24,Social and Peer Statements,“My parents care about my feelings.”,63.6
All students,Overall,2023/24,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,54.6
All students,Overall,2023/24,Social and Peer Statements,“I always have my own idea among my group of friends.”,51.7
All students,Overall,2023/24,Social and Peer Statements,“I can be influenced by my friends easily.”,41
All students,Overall,2023/24,Social and Peer Statements,“I feel I am well-liked in school.”,29.2
All students,Overall,2023/24,Social and Peer Statements,“I often break school rules.”,13.5
Drug-taking students,Overall,2023/24,Social and Peer Statements,“My parents care about my feelings.”,65
Drug-taking students,Overall,2023/24,Social and Peer Statements,“I always have my own idea among my group of friends.”,47.7
Drug-taking students,Overall,2023/24,Social and Peer Statements,“I can be influenced by my friends easily.”,42.6
Drug-taking students,Overall,2023/24,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,39.8
Drug-taking students,Overall,2023/24,Social and Peer Statements,“I often break school rules.”,37.1
Drug-taking students,Overall,2023/24,Social and Peer Statements,“I feel I am well-liked in school.”,34.8
Non-drug-taking students,Overall,2023/24,Social and Peer Statements,“My parents care about my feelings.”,63.6
Non-drug-taking students,Overall,2023/24,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,55
Non-drug-taking students,Overall,2023/24,Social and Peer Statements,“I always have my own idea among my group of friends.”,51.8
Non-drug-taking students,Overall,2023/24,Social and Peer Statements,“I can be influenced by my friends easily.”,40.9
Non-drug-taking students,Overall,2023/24,Social and Peer Statements,“I feel I am well-liked in school.”,29.1
Non-drug-taking students,Overall,2023/24,Social and Peer Statements,“I often break school rules.”,12.9
All students,Upper Primary,2020/21,Social and Peer Statements,“My parents care about my feelings.”,77.3
All students,Upper Primary,2020/21,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,83.7
All students,Upper Primary,2020/21,Social and Peer Statements,“I always have my own idea among my group of friends.”,65
All students,Upper Primary,2020/21,Social and Peer Statements,“I can be influenced by my friends easily.”,31.2
All students,Upper Primary,2020/21,Social and Peer Statements,“I feel I am well-liked in school.”,34.7
All students,Upper Primary,2020/21,Social and Peer Statements,“I often break school rules.”,7.9
Drug-taking students,Upper Primary,2020/21,Social and Peer Statements,“My parents care about my feelings.”,62.5
Drug-taking students,Upper Primary,2020/21,Social and Peer Statements,“I always have my own idea among my group of friends.”,57.5
Drug-taking students,Upper Primary,2020/21,Social and Peer Statements,“I can be influenced by my friends easily.”,30.7
Drug-taking students,Upper Primary,2020/21,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,58.5
Drug-taking students,Upper Primary,2020/21,Social and Peer Statements,“I often break school rules.”,25.6
Drug-taking students,Upper Primary,2020/21,Social and Peer Statements,“I feel I am well-liked in school.”,38.6
Non-drug-taking students,Upper Primary,2020/21,Social and Peer Statements,“My parents care about my feelings.”,77.5
Non-drug-taking students,Upper Primary,2020/21,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,84
Non-drug-taking students,Upper Primary,2020/21,Social and Peer Statements,“I always have my own idea among my group of friends.”,65.1
Non-drug-taking students,Upper Primary,2020/21,Social and Peer Statements,“I can be influenced by my friends easily.”,31.2
Non-drug-taking students,Upper Primary,2020/21,Social and Peer Statements,“I feel I am well-liked in school.”,34.7
Non-drug-taking students,Upper Primary,2020/21,Social and Peer Statements,“I often break school rules.”,7.6
All students,Upper Primary,2023/24,Social and Peer Statements,“My parents care about my feelings.”,79.3
All students,Upper Primary,2023/24,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,81.8
All students,Upper Primary,2023/24,Social and Peer Statements,“I always have my own idea among my group of friends.”,70.2
All students,Upper Primary,2023/24,Social and Peer Statements,“I can be influenced by my friends easily.”,36.5
All students,Upper Primary,2023/24,Social and Peer Statements,“I feel I am well-liked in school.”,43.1
All students,Upper Primary,2023/24,Social and Peer Statements,“I often break school rules.”,8.8
Drug-taking students,Upper Primary,2023/24,Social and Peer Statements,“My parents care about my feelings.”,64.9
Drug-taking students,Upper Primary,2023/24,Social and Peer Statements,“I always have my own idea among my group of friends.”,58.6
Drug-taking students,Upper Primary,2023/24,Social and Peer Statements,“I can be influenced by my friends easily.”,35.1
Drug-taking students,Upper Primary,2023/24,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,47.6
Drug-taking students,Upper Primary,2023/24,Social and Peer Statements,“I often break school rules.”,22.6
Drug-taking students,Upper Primary,2023/24,Social and Peer Statements,“I feel I am well-liked in school.”,46.1
Non-drug-taking students,Upper Primary,2023/24,Social and Peer Statements,“My parents care about my feelings.”,79.4
Non-drug-taking students,Upper Primary,2023/24,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,82.2
Non-drug-taking students,Upper Primary,2023/24,Social and Peer Statements,“I always have my own idea among my group of friends.”,70.3
Non-drug-taking students,Upper Primary,2023/24,Social and Peer Statements,“I can be influenced by my friends easily.”,36.5
Non-drug-taking students,Upper Primary,2023/24,Social and Peer Statements,“I feel I am well-liked in school.”,43.1
Non-drug-taking students,Upper Primary,2023/24,Social and Peer Statements,“I often break school rules.”,8.6
All students,Secondary,2020/21,Social and Peer Statements,“My parents care about my feelings.”,73.4
All students,Secondary,2020/21,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,70.9
All students,Secondary,2020/21,Social and Peer Statements,“I always have my own idea among my group of friends.”,71.5
All students,Secondary,2020/21,Social and Peer Statements,“I can be influenced by my friends easily.”,51.1
All students,Secondary,2020/21,Social and Peer Statements,“I feel I am well-liked in school.”,36.7
All students,Secondary,2020/21,Social and Peer Statements,“I often break school rules.”,14.8
Drug-taking students,Secondary,2020/21,Social and Peer Statements,“My parents care about my feelings.”,63.4
Drug-taking students,Secondary,2020/21,Social and Peer Statements,“I always have my own idea among my group of friends.”,67.9
Drug-taking students,Secondary,2020/21,Social and Peer Statements,“I can be influenced by my friends easily.”,44.7
Drug-taking students,Secondary,2020/21,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,46.1
Drug-taking students,Secondary,2020/21,Social and Peer Statements,“I often break school rules.”,35.4
Drug-taking students,Secondary,2020/21,Social and Peer Statements,“I feel I am well-liked in school.”,45.9
Non-drug-taking students,Secondary,2020/21,Social and Peer Statements,“My parents care about my feelings.”,73.6
Non-drug-taking students,Secondary,2020/21,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,71.5
Non-drug-taking students,Secondary,2020/21,Social and Peer Statements,“I always have my own idea among my group of friends.”,71.6
Non-drug-taking students,Secondary,2020/21,Social and Peer Statements,“I can be influenced by my friends easily.”,51.3
Non-drug-taking students,Secondary,2020/21,Social and Peer Statements,“I feel I am well-liked in school.”,36.5
Non-drug-taking students,Secondary,2020/21,Social and Peer Statements,“I often break school rules.”,14.3
All students,Secondary,2023/24,Social and Peer Statements,“My parents care about my feelings.”,74.8
All students,Secondary,2023/24,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,74.6
All students,Secondary,2023/24,Social and Peer Statements,“I always have my own idea among my group of friends.”,73
All students,Secondary,2023/24,Social and Peer Statements,“I can be influenced by my friends easily.”,51.1
All students,Secondary,2023/24,Social and Peer Statements,“I feel I am well-liked in school.”,39.5
All students,Secondary,2023/24,Social and Peer Statements,“I often break school rules.”,18.3
Drug-taking students,Secondary,2023/24,Social and Peer Statements,“My parents care about my feelings.”,68.1
Drug-taking students,Secondary,2023/24,Social and Peer Statements,“I always have my own idea among my group of friends.”,69.1
Drug-taking students,Secondary,2023/24,Social and Peer Statements,“I can be influenced by my friends easily.”,45.4
Drug-taking students,Secondary,2023/24,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,54.3
Drug-taking students,Secondary,2023/24,Social and Peer Statements,“I often break school rules.”,39
Drug-taking students,Secondary,2023/24,Social and Peer Statements,“I feel I am well-liked in school.”,46.9
Non-drug-taking students,Secondary,2023/24,Social and Peer Statements,“My parents care about my feelings.”,75
Non-drug-taking students,Secondary,2023/24,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,75.2
Non-drug-taking students,Secondary,2023/24,Social and Peer Statements,“I always have my own idea among my group of friends.”,73.1
Non-drug-taking students,Secondary,2023/24,Social and Peer Statements,“I can be influenced by my friends easily.”,51.3
Non-drug-taking students,Secondary,2023/24,Social and Peer Statements,“I feel I am well-liked in school.”,39.3
Non-drug-taking students,Secondary,2023/24,Social and Peer Statements,“I often break school rules.”,17.7
All students,Post-secondary,2020/21,Social and Peer Statements,“My parents care about my feelings.”,74.2
All students,Post-secondary,2020/21,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,65.5
All students,Post-secondary,2020/21,Social and Peer Statements,“I always have my own idea among my group of friends.”,73.8
All students,Post-secondary,2020/21,Social and Peer Statements,“I can be influenced by my friends easily.”,46.9
All students,Post-secondary,2020/21,Social and Peer Statements,“I feel I am well-liked in school.”,38.2
All students,Post-secondary,2020/21,Social and Peer Statements,“I often break school rules.”,11.6
Drug-taking students,Post-secondary,2020/21,Social and Peer Statements,“My parents care about my feelings.”,66.4
Drug-taking students,Post-secondary,2020/21,Social and Peer Statements,“I always have my own idea among my group of friends.”,79.8
Drug-taking students,Post-secondary,2020/21,Social and Peer Statements,“I can be influenced by my friends easily.”,42.3
Drug-taking students,Post-secondary,2020/21,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,21.4
Drug-taking students,Post-secondary,2020/21,Social and Peer Statements,“I often break school rules.”,32.3
Drug-taking students,Post-secondary,2020/21,Social and Peer Statements,“I feel I am well-liked in school.”,51.1
Non-drug-taking students,Post-secondary,2020/21,Social and Peer Statements,“My parents care about my feelings.”,74.4
Non-drug-taking students,Post-secondary,2020/21,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,66.7
Non-drug-taking students,Post-secondary,2020/21,Social and Peer Statements,“I always have my own idea among my group of friends.”,73.6
Non-drug-taking students,Post-secondary,2020/21,Social and Peer Statements,“I can be influenced by my friends easily.”,47.1
Non-drug-taking students,Post-secondary,2020/21,Social and Peer Statements,“I feel I am well-liked in school.”,37.8
Non-drug-taking students,Post-secondary,2020/21,Social and Peer Statements,“I often break school rules.”,11.1
All students,Post-secondary,2023/24,Social and Peer Statements,“My parents care about my feelings.”,32.6
All students,Post-secondary,2023/24,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,1.6
All students,Post-secondary,2023/24,Social and Peer Statements,“I always have my own idea among my group of friends.”,1.7
All students,Post-secondary,2023/24,Social and Peer Statements,“I can be influenced by my friends easily.”,27.7
All students,Post-secondary,2023/24,Social and Peer Statements,“I feel I am well-liked in school.”,1.7
All students,Post-secondary,2023/24,Social and Peer Statements,“I often break school rules.”,9.3
Drug-taking students,Post-secondary,2023/24,Social and Peer Statements,“My parents care about my feelings.”,60.6
Drug-taking students,Post-secondary,2023/24,Social and Peer Statements,“I always have my own idea among my group of friends.”,13.6
Drug-taking students,Post-secondary,2023/24,Social and Peer Statements,“I can be influenced by my friends easily.”,41
Drug-taking students,Post-secondary,2023/24,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,16.8
Drug-taking students,Post-secondary,2023/24,Social and Peer Statements,“I often break school rules.”,38.9
Drug-taking students,Post-secondary,2023/24,Social and Peer Statements,“I feel I am well-liked in school.”,14
Non-drug-taking students,Post-secondary,2023/24,Social and Peer Statements,“My parents care about my feelings.”,31.6
Non-drug-taking students,Post-secondary,2023/24,Social and Peer Statements,“My friends cannot do anything that breaks the law.”,1.1
Non-drug-taking students,Post-secondary,2023/24,Social and Peer Statements,“I always have my own idea among my group of friends.”,1.3
Non-drug-taking students,Post-secondary,2023/24,Social and Peer Statements,“I can be influenced by my friends easily.”,27.3
Non-drug-taking students,Post-secondary,2023/24,Social and Peer Statements,“I feel I am well-liked in school.”,1.3
Non-drug-taking students,Post-secondary,2023/24,Social and Peer Statements,“I often break school rules.”,8.3
All students,Overall,2020/21,Free Time Activities,Chat with friends,68.8
All students,Overall,2020/21,Free Time Activities,Play electronic games at home,62.4
All students,Overall,2020/21,Free Time Activities,Surf the Internet,57.4
All students,Overall,2020/21,Free Time Activities,Watch TV / listen to the radio or music,57.7
All students,Overall,2020/21,Free Time Activities,Hang around at home / sleep,49.3
All students,Overall,2020/21,Free Time Activities,Chat / play with family,42
All students,Overall,2020/21,Free Time Activities,Watch movies,41.4
All students,Overall,2020/21,Free Time Activities,Shopping / wander on streets,33.8
All students,Overall,2020/21,Free Time Activities,Do sports / outdoor activities (e.g. outing / hiking),34.6
All students,Overall,2020/21,Free Time Activities,Read books,36.2
All students,Overall,2020/21,Free Time Activities,Play musical instruments / drawing / dancing / participate in other cultural activities,28.8
All students,Overall,2020/21,Free Time Activities,Read comics,27.7
All students,Overall,2020/21,Free Time Activities,Play in friends’ and relatives’ home,18.9
All students,Overall,2020/21,Free Time Activities,Participate in extra-curricular activities (e.g. scouts and guides / society activities),12
All students,Overall,2020/21,Free Time Activities,Go to entertainment venue (e.g. karaoke / bar (or pub)),7.9
All students,Overall,2020/21,Free Time Activities,Participate in voluntary work,6.2
All students,Overall,2020/21,Free Time Activities,Participate in church / religious activities,6.5
All students,Overall,2020/21,Free Time Activities,Go to cyber cafes / electronic games centres,3.6
All students,Overall,2020/21,Free Time Activities,Others,2.6
Drug-taking students,Overall,2020/21,Free Time Activities,Chat with friends,64.4
Drug-taking students,Overall,2020/21,Free Time Activities,Play electronic games at home,51.8
Drug-taking students,Overall,2020/21,Free Time Activities,Watch movies,46.9
Drug-taking students,Overall,2020/21,Free Time Activities,Hang around at home / sleep,49.8
Drug-taking students,Overall,2020/21,Free Time Activities,Surf the Internet,48.9
Drug-taking students,Overall,2020/21,Free Time Activities,Watch TV / listen to the radio or music,50.6
Drug-taking students,Overall,2020/21,Free Time Activities,Do sports / outdoor activities (e.g. outing / hiking),41.6
Drug-taking students,Overall,2020/21,Free Time Activities,Shopping / wander on streets,38.8
Drug-taking students,Overall,2020/21,Free Time Activities,Chat / play with family,32.3
Drug-taking students,Overall,2020/21,Free Time Activities,Read books,25
Drug-taking students,Overall,2020/21,Free Time Activities,Go to entertainment venue (e.g. karaoke / bar (or pub)),26.6
Drug-taking students,Overall,2020/21,Free Time Activities,Play musical instruments / drawing / dancing / participate in other cultural activities,26.2
Drug-taking students,Overall,2020/21,Free Time Activities,Play in friends’ and relatives’ home,22.8
Drug-taking students,Overall,2020/21,Free Time Activities,Read comics,17.2
Drug-taking students,Overall,2020/21,Free Time Activities,Participate in extra-curricular activities (e.g. scouts and guides / society activities),12.5
Drug-taking students,Overall,2020/21,Free Time Activities,Go to cyber cafes / electronic games centres,11.5
Drug-taking students,Overall,2020/21,Free Time Activities,Participate in voluntary work,9.8
Drug-taking students,Overall,2020/21,Free Time Activities,Participate in church / religious activities,7.4
Drug-taking students,Overall,2020/21,Free Time Activities,Others,5.5
Non-drug-taking students,Overall,2020/21,Free Time Activities,Chat with friends,68.9
Non-drug-taking students,Overall,2020/21,Free Time Activities,Play electronic games at home,62.7
Non-drug-taking students,Overall,2020/21,Free Time Activities,Surf the Internet,57.6
Non-drug-taking students,Overall,2020/21,Free Time Activities,Watch TV / listen to the radio or music,57.9
Non-drug-taking students,Overall,2020/21,Free Time Activities,Hang around at home / sleep,49.3
Non-drug-taking students,Overall,2020/21,Free Time Activities,Chat / play with family,42.2
Non-drug-taking students,Overall,2020/21,Free Time Activities,Watch movies,41.3
Non-drug-taking students,Overall,2020/21,Free Time Activities,Shopping / wander on streets,33.7
Non-drug-taking students,Overall,2020/21,Free Time Activities,Do sports / outdoor activities (e.g. outing / hiking),34.5
Non-drug-taking students,Overall,2020/21,Free Time Activities,Read books,36.5
Non-drug-taking students,Overall,2020/21,Free Time Activities,Play musical instruments / drawing / dancing / participate in other cultural activities,28.8
Non-drug-taking students,Overall,2020/21,Free Time Activities,Read comics,28
Non-drug-taking students,Overall,2020/21,Free Time Activities,Play in friends’ and relatives’ home,18.8
Non-drug-taking students,Overall,2020/21,Free Time Activities,Participate in extra-curricular activities (e.g. scouts and guides / society activities),12
Non-drug-taking students,Overall,2020/21,Free Time Activities,Go to entertainment venue (e.g. karaoke / bar (or pub)),7.4
Non-drug-taking students,Overall,2020/21,Free Time Activities,Participate in voluntary work,6.2
Non-drug-taking students,Overall,2020/21,Free Time Activities,Participate in church / religious activities,6.4
Non-drug-taking students,Overall,2020/21,Free Time Activities,Go to cyber cafes / electronic games centres,3.4
Non-drug-taking students,Overall,2020/21,Free Time Activities,Others,2.5
All students,Overall,2023/24,Free Time Activities,Chat with friends,67.6
All students,Overall,2023/24,Free Time Activities,Play electronic games at home,59.9
All students,Overall,2023/24,Free Time Activities,Surf the Internet,52.4
All students,Overall,2023/24,Free Time Activities,Watch TV / listen to the radio or music,51.3
All students,Overall,2023/24,Free Time Activities,Hang around at home / sleep,50.2
All students,Overall,2023/24,Free Time Activities,Chat / play with family,41.9
All students,Overall,2023/24,Free Time Activities,Watch movies,37.9
All students,Overall,2023/24,Free Time Activities,Shopping / wander on streets,36.9
All students,Overall,2023/24,Free Time Activities,Do sports / outdoor activities (e.g. outing / hiking),36.7
All students,Overall,2023/24,Free Time Activities,Read books,30.6
All students,Overall,2023/24,Free Time Activities,Play musical instruments / drawing / dancing / participate in other cultural activities,28.4
All students,Overall,2023/24,Free Time Activities,Read comics,24.2
All students,Overall,2023/24,Free Time Activities,Play in friends’ and relatives’ home,17.9
All students,Overall,2023/24,Free Time Activities,Participate in extra-curricular activities (e.g. scouts and guides / society activities),15.6
All students,Overall,2023/24,Free Time Activities,Go to entertainment venue (e.g. karaoke / bar (or pub)),8.3
All students,Overall,2023/24,Free Time Activities,Participate in voluntary work,7.3
All students,Overall,2023/24,Free Time Activities,Participate in church / religious activities,5.9
All students,Overall,2023/24,Free Time Activities,Go to cyber cafes / electronic games centres,3.3
All students,Overall,2023/24,Free Time Activities,Others,2.8
Drug-taking students,Overall,2023/24,Free Time Activities,Chat with friends,61.6
Drug-taking students,Overall,2023/24,Free Time Activities,Play electronic games at home,49.2
Drug-taking students,Overall,2023/24,Free Time Activities,Watch movies,45.2
Drug-taking students,Overall,2023/24,Free Time Activities,Hang around at home / sleep,44.2
Drug-taking students,Overall,2023/24,Free Time Activities,Surf the Internet,44
Drug-taking students,Overall,2023/24,Free Time Activities,Watch TV / listen to the radio or music,43.2
Drug-taking students,Overall,2023/24,Free Time Activities,Do sports / outdoor activities (e.g. outing / hiking),40.1
Drug-taking students,Overall,2023/24,Free Time Activities,Shopping / wander on streets,39.6
Drug-taking students,Overall,2023/24,Free Time Activities,Chat / play with family,33.6
Drug-taking students,Overall,2023/24,Free Time Activities,Read books,26.4
Drug-taking students,Overall,2023/24,Free Time Activities,Go to entertainment venue (e.g. karaoke / bar (or pub)),23.3
Drug-taking students,Overall,2023/24,Free Time Activities,Play musical instruments / drawing / dancing / participate in other cultural activities,23
Drug-taking students,Overall,2023/24,Free Time Activities,Play in friends’ and relatives’ home,21.8
Drug-taking students,Overall,2023/24,Free Time Activities,Read comics,16.8
Drug-taking students,Overall,2023/24,Free Time Activities,Participate in extra-curricular activities (e.g. scouts and guides / society activities),11.6
Drug-taking students,Overall,2023/24,Free Time Activities,Go to cyber cafes / electronic games centres,9.8
Drug-taking students,Overall,2023/24,Free Time Activities,Participate in voluntary work,8.9
Drug-taking students,Overall,2023/24,Free Time Activities,Participate in church / religious activities,8.6
Drug-taking students,Overall,2023/24,Free Time Activities,Others,7
Non-drug-taking students,Overall,2023/24,Free Time Activities,Chat with friends,67.8
Non-drug-taking students,Overall,2023/24,Free Time Activities,Play electronic games at home,60.2
Non-drug-taking students,Overall,2023/24,Free Time Activities,Surf the Internet,52.6
Non-drug-taking students,Overall,2023/24,Free Time Activities,Watch TV / listen to the radio or music,51.5
Non-drug-taking students,Overall,2023/24,Free Time Activities,Hang around at home / sleep,50.4
Non-drug-taking students,Overall,2023/24,Free Time Activities,Chat / play with family,42.1
Non-drug-taking students,Overall,2023/24,Free Time Activities,Watch movies,37.7
Non-drug-taking students,Overall,2023/24,Free Time Activities,Shopping / wander on streets,36.9
Non-drug-taking students,Overall,2023/24,Free Time Activities,Do sports / outdoor activities (e.g. outing / hiking),36.7
Non-drug-taking students,Overall,2023/24,Free Time Activities,Read books,30.7
Non-drug-taking students,Overall,2023/24,Free Time Activities,Play musical instruments / drawing / dancing / participate in other cultural activities,28.6
Non-drug-taking students,Overall,2023/24,Free Time Activities,Read comics,24.4
Non-drug-taking students,Overall,2023/24,Free Time Activities,Play in friends’ and relatives’ home,17.8
Non-drug-taking students,Overall,2023/24,Free Time Activities,Participate in extra-curricular activities (e.g. scouts and guides / society activities),15.7
Non-drug-taking students,Overall,2023/24,Free Time Activities,Go to entertainment venue (e.g. karaoke / bar (or pub)),7.9
Non-drug-taking students,Overall,2023/24,Free Time Activities,Participate in voluntary work,7.2
Non-drug-taking students,Overall,2023/24,Free Time Activities,Participate in church / religious activities,5.8
Non-drug-taking students,Overall,2023/24,Free Time Activities,Go to cyber cafes / electronic games centres,3.1
Non-drug-taking students,Overall,2023/24,Free Time Activities,Others,2.7
All students,Upper Primary,2020/21,Free Time Activities,Chat with friends,60.8
All students,Upper Primary,2020/21,Free Time Activities,Play electronic games at home,70.7
All students,Upper Primary,2020/21,Free Time Activities,Surf the Internet,47
All students,Upper Primary,2020/21,Free Time Activities,Watch TV / listen to the radio or music,62.9
All students,Upper Primary,2020/21,Free Time Activities,Hang around at home / sleep,31.4
All students,Upper Primary,2020/21,Free Time Activities,Chat / play with family,50
All students,Upper Primary,2020/21,Free Time Activities,Watch movies,29
All students,Upper Primary,2020/21,Free Time Activities,Shopping / wander on streets,24.7
All students,Upper Primary,2020/21,Free Time Activities,Do sports / outdoor activities (e.g. outing / hiking),32
All students,Upper Primary,2020/21,Free Time Activities,Read books,41.3
All students,Upper Primary,2020/21,Free Time Activities,Play musical instruments / drawing / dancing / participate in other cultural activities,34.5
All students,Upper Primary,2020/21,Free Time Activities,Read comics,31.9
All students,Upper Primary,2020/21,Free Time Activities,Play in friends’ and relatives’ home,22.7
All students,Upper Primary,2020/21,Free Time Activities,Participate in extra-curricular activities (e.g. scouts and guides / society activities),14.3
All students,Upper Primary,2020/21,Free Time Activities,Go to entertainment venue (e.g. karaoke / bar (or pub)),2.1
All students,Upper Primary,2020/21,Free Time Activities,Participate in voluntary work,4.5
All students,Upper Primary,2020/21,Free Time Activities,Participate in church / religious activities,6.2
All students,Upper Primary,2020/21,Free Time Activities,Go to cyber cafes / electronic games centres,4.5
All students,Upper Primary,2020/21,Free Time Activities,Others,4.3
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Chat with friends,43.4
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Play electronic games at home,58.6
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Watch movies,28.8
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Hang around at home / sleep,21.4
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Surf the Internet,28.2
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Watch TV / listen to the radio or music,41.4
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Do sports / outdoor activities (e.g. outing / hiking),20.5
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Shopping / wander on streets,23.3
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Chat / play with family,32.4
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Read books,14.6
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Go to entertainment venue (e.g. karaoke / bar (or pub)),5.5
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Play musical instruments / drawing / dancing / participate in other cultural activities,24.1
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Play in friends’ and relatives’ home,19.1
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Read comics,19
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Participate in extra-curricular activities (e.g. scouts and guides / society activities),9.3
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Go to cyber cafes / electronic games centres,16.4
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Participate in voluntary work,4.5
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Participate in church / religious activities,2.7
Drug-taking students,Upper Primary,2020/21,Free Time Activities,Others,9.2
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Chat with friends,61
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Play electronic games at home,70.9
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Surf the Internet,47.3
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Watch TV / listen to the radio or music,63.2
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Hang around at home / sleep,31.5
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Chat / play with family,50.2
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Watch movies,29
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Shopping / wander on streets,24.7
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Do sports / outdoor activities (e.g. outing / hiking),32.1
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Read books,41.7
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Play musical instruments / drawing / dancing / participate in other cultural activities,34.7
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Read comics,32.1
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Play in friends’ and relatives’ home,22.8
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Participate in extra-curricular activities (e.g. scouts and guides / society activities),14.3
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Go to entertainment venue (e.g. karaoke / bar (or pub)),2
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Participate in voluntary work,4.5
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Participate in church / religious activities,6.3
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Go to cyber cafes / electronic games centres,4.3
Non-drug-taking students,Upper Primary,2020/21,Free Time Activities,Others,4.3
All students,Upper Primary,2023/24,Free Time Activities,Chat with friends,63.9
All students,Upper Primary,2023/24,Free Time Activities,Play electronic games at home,68.4
All students,Upper Primary,2023/24,Free Time Activities,Surf the Internet,45.4
All students,Upper Primary,2023/24,Free Time Activities,Watch TV / listen to the radio or music,59.4
All students,Upper Primary,2023/24,Free Time Activities,Hang around at home / sleep,34.1
All students,Upper Primary,2023/24,Free Time Activities,Chat / play with family,51
All students,Upper Primary,2023/24,Free Time Activities,Watch movies,28.6
All students,Upper Primary,2023/24,Free Time Activities,Shopping / wander on streets,31.8
All students,Upper Primary,2023/24,Free Time Activities,Do sports / outdoor activities (e.g. outing / hiking),37.1
All students,Upper Primary,2023/24,Free Time Activities,Read books,36.9
All students,Upper Primary,2023/24,Free Time Activities,Play musical instruments / drawing / dancing / participate in other cultural activities,39.1
All students,Upper Primary,2023/24,Free Time Activities,Read comics,31.9
All students,Upper Primary,2023/24,Free Time Activities,Play in friends’ and relatives’ home,23.4
All students,Upper Primary,2023/24,Free Time Activities,Participate in extra-curricular activities (e.g. scouts and guides / society activities),20.3
All students,Upper Primary,2023/24,Free Time Activities,Go to entertainment venue (e.g. karaoke / bar (or pub)),2.9
All students,Upper Primary,2023/24,Free Time Activities,Participate in voluntary work,6.2
All students,Upper Primary,2023/24,Free Time Activities,Participate in church / religious activities,7.3
All students,Upper Primary,2023/24,Free Time Activities,Go to cyber cafes / electronic games centres,5.2
All students,Upper Primary,2023/24,Free Time Activities,Others,4
Drug-taking students,Upper Primary,2023/24,Free Time Activities,Chat with friends,47
